iter	Passed	Remaining
0	165	165730
1	175	87810
2	187	62200
3	198	49458
4	208	41581
5	220	36526
6	230	32692
7	241	29939
8	255	28146
9	266	26373
10	275	24767
11	283	23363
12	292	22229
13	301	21214
14	312	20492
15	321	19779
16	334	19331
17	347	18946
18	360	18600
19	378	18558
20	402	18753
21	414	18448
22	426	18134
23	443	18026
24	459	17911
25	479	17946
26	492	17765
27	507	17613
28	523	17540
29	541	17510
30	551	17245
31	565	17111
32	581	17025
33	595	16914
34	607	16741
35	627	16792
36	644	16774
37	660	16711
38	675	16648
39	695	16682
40	709	16588
41	722	16490
42	742	16514
43	757	16455
44	768	16301
45	776	16104
46	786	15946
47	794	15762
48	805	15623
49	814	15466
50	822	15311
51	834	15221
52	845	15103
53	855	14988
54	867	14902
55	876	14783
56	889	14722
57	904	14693
58	915	14599
59	924	14485
60	934	14384
61	945	14311
62	955	14217
63	967	14145
64	985	14170
65	997	14117
66	1011	14079
67	1029	14115
68	1043	14074
69	1059	14079
70	1077	14095
71	1092	14078
72	1108	14075
73	1125	14082
74	1139	14050
75	1155	14046
76	1170	14033
77	1185	14017
78	1210	14113
79	1230	14148
80	1248	14163
81	1268	14195
82	1285	14202
83	1302	14208
84	1329	14307
85	1342	14268
86	1358	14256
87	1371	14212
88	1386	14190
89	1399	14150
90	1415	14139
91	1429	14106
92	1440	14052
93	1449	13975
94	1460	13914
95	1470	13849
96	1482	13796
97	1494	13752
98	1508	13726
99	1517	13661
100	1528	13605
101	1541	13569
102	1553	13529
103	1563	13468
104	1575	13432
105	1585	13369
106	1599	13345
107	1611	13305
108	1629	13318
109	1645	13311
110	1664	13328
111	1679	13312
112	1693	13294
113	1706	13264
114	1719	13236
115	1737	13243
116	1750	13210
117	1759	13149
118	1783	13207
119	1793	13149
120	1804	13105
121	1818	13086
122	1837	13098
123	1847	13054
124	1860	13023
125	1872	12990
126	1886	12964
127	1901	12953
128	1914	12924
129	1926	12892
130	1939	12869
131	1955	12859
132	1967	12823
133	1978	12787
134	1986	12728
135	2002	12722
136	2015	12698
137	2030	12682
138	2042	12652
139	2055	12625
140	2067	12596
141	2083	12591
142	2095	12561
143	2109	12538
144	2125	12530
145	2138	12510
146	2153	12498
147	2169	12486
148	2183	12473
149	2196	12446
150	2212	12442
151	2228	12434
152	2243	12419
153	2265	12443
154	2283	12450
155	2298	12436
156	2314	12426
157	2330	12421
158	2348	12422
159	2364	12414
160	2379	12399
161	2392	12376
162	2401	12329
163	2412	12296
164	2424	12271
165	2440	12261
166	2455	12249
167	2467	12220
168	2485	12223
169	2498	12196
170	2510	12171
171	2521	12136
172	2536	12122
173	2550	12107
174	2563	12086
175	2577	12069
176	2590	12047
177	2602	12019
178	2614	11990
179	2629	11979
180	2640	11947
181	2652	11920
182	2664	11895
183	2676	11871
184	2690	11854
185	2699	11815
186	2712	11793
187	2725	11773
188	2739	11756
189	2749	11722
190	2763	11705
191	2778	11691
192	2790	11669
193	2801	11639
194	2817	11631
195	2833	11624
196	2853	11631
197	2869	11624
198	2886	11617
199	2905	11622
200	2920	11609
201	2931	11579
202	2945	11566
203	2961	11553
204	2977	11548
205	2992	11534
206	3008	11526
207	3020	11499
208	3035	11488
209	3043	11448
210	3057	11434
211	3073	11424
212	3089	11414
213	3105	11404
214	3125	11410
215	3140	11400
216	3154	11381
217	3169	11368
218	3179	11339
219	3189	11308
220	3206	11303
221	3222	11294
222	3237	11282
223	3253	11272
224	3273	11274
225	3287	11257
226	3299	11234
227	3314	11222
228	3327	11202
229	3339	11181
230	3354	11168
231	3371	11162
232	3387	11149
233	3402	11138
234	3419	11129
235	3431	11107
236	3444	11090
237	3465	11094
238	3493	11124
239	3516	11134
240	3534	11130
241	3556	11141
242	3586	11172
243	3612	11192
244	3629	11185
245	3647	11180
246	3664	11172
247	3677	11151
248	3697	11150
249	3711	11134
250	3731	11136
251	3751	11134
252	3774	11145
253	3789	11130
254	3806	11121
255	3822	11108
256	3836	11090
257	3845	11059
258	3858	11039
259	3875	11029
260	3888	11010
261	3904	10998
262	3920	10987
263	3938	10979
264	3950	10956
265	3962	10933
266	3976	10915
267	3987	10891
268	4004	10880
269	4021	10872
270	4034	10853
271	4046	10831
272	4058	10807
273	4072	10789
274	4083	10764
275	4093	10738
276	4105	10715
277	4118	10696
278	4140	10700
279	4164	10708
280	4182	10700
281	4203	10701
282	4221	10696
283	4243	10699
284	4264	10697
285	4274	10670
286	4288	10655
287	4305	10644
288	4322	10634
289	4339	10624
290	4360	10623
291	4384	10631
292	4396	10607
293	4408	10586
294	4423	10571
295	4444	10569
296	4457	10551
297	4481	10556
298	4492	10533
299	4503	10508
300	4515	10485
301	4530	10472
302	4543	10450
303	4559	10437
304	4575	10426
305	4588	10406
306	4603	10391
307	4615	10370
308	4629	10353
309	4648	10346
310	4662	10329
311	4676	10313
312	4691	10298
313	4702	10274
314	4714	10251
315	4727	10232
316	4741	10214
317	4752	10191
318	4761	10164
319	4779	10157
320	4797	10148
321	4818	10145
322	4830	10123
323	4846	10112
324	4861	10097
325	4876	10081
326	4890	10064
327	4903	10045
328	4914	10022
329	4926	10003
330	4941	9987
331	4955	9970
332	4972	9960
333	4989	9948
334	5003	9931
335	5016	9913
336	5027	9889
337	5037	9866
338	5052	9852
339	5063	9828
340	5076	9810
341	5090	9794
342	5106	9781
343	5121	9766
344	5137	9754
345	5154	9743
346	5168	9725
347	5181	9707
348	5198	9697
349	5214	9683
